date,total_quantity,total_amount,max_amount,min_amount,mean,,,
2019-01-02,1315,4937650,4500,2430,3755,,,
2019-01-04,275,1252900,4780,4500,4556,,,
2019-01-07,1079,5386980,6060,3750,4993,,,
2019-01-09,1240,3887400,5360,1550,3135,,,
2019-01-11,975,2331650,5500,1470,2391,,,
2019-01-14,915,1377500,3000,1020,1505,,,
2019-01-16,695,1157850,3000,900,1666,,,
2019-01-18,397,654800,2460,650,1649,,,
2019-01-21,892,1499020,2700,1050,1681,,,
2019-01-23,330,634500,3380,880,1923,,,
2019-01-25,820,1385700,3180,1200,1690,,,
2019-01-28,3875,5274000,3000,790,1361,,,
2019-01-30,2535,2761300,2530,620,1089,,,
2019-02-01,1030,1623500,2810,800,1576,,,
2019-02-08,4340,5548450,2520,530,1278,,,
2019-02-11,2589,3209550,2580,500,1240,,,
2019-02-13,1810,1856150,2270,550,1025,,,
2019-02-15,1860,2943300,3330,1100,1582,,,
2019-02-18,2007,3383630,4330,1110,1686,,,
2019-02-20,2085,3429900,4200,890,1645,,,
2019-02-22,2956,4764440,4150,760,1612,,,
2019-02-25,3713,6166800,3780,870,1661,,,
2019-02-27,2268,3164040,3880,640,1395,,,
2019-02-28,200,80000,400,400,400,,,
2019-03-01,2685,3517450,3300,350,1310,,,
2019-03-02,50,31500,630,630,630,,,
2019-03-04,3607,4698030,3850,450,1302,,,
2019-03-06,3020,4024590,4280,470,1333,,,
2019-03-08,2598,3955900,3800,500,1523,,,
2019-03-11,5635,8199950,3800,650,1455,,,
2019-03-13,4353,7910980,3500,1030,1817,,,
2019-03-15,5081,9328290,3500,890,1836,,,
2019-03-18,6055,11312790,3530,960,1868,,,
2019-03-20,4536,7343840,3000,590,1619,,,
2019-03-22,6259,9332860,2450,390,1491,,,
2019-03-25,8950,11579250,2330,380,1294,,,
2019-03-27,6950,8927750,2520,480,1285,,,
2019-03-29,9004,11926240,2460,540,1325,,,
2020-01-03,2085,11272250,7000,2230,5406,,,
2020-01-06,2725,10219500,7000,2400,3750,,,
2020-01-07,50,80000,1600,1600,1600,,,
2020-01-08,1703,5776040,6000,2780,3392,,,
2020-01-10,1265,3664450,5000,1700,2897,,,
2020-01-13,2882,5341610,5000,840,1853,,,
2020-01-15,2205,3026050,2180,600,1372,,,
2020-01-17,1560,2498500,2270,1020,1602,,,
2020-01-20,1940,3251050,3430,1000,1676,,,
2020-01-22,2400,4900400,3250,1270,2042,,,
2020-01-29,6445,13011400,4150,1060,2019,,,
2020-01-31,5390,7673850,4030,710,1424,,,
2020-02-03,4019,4483530,3000,570,1116,,,
2020-02-04,1115,838850,910,600,752,,,
2020-02-05,3495,3649050,2640,280,1044,,,
2020-02-07,2960,3800950,2570,770,1284,,,
2020-02-10,3690,5434900,2800,540,1473,,,
2020-02-12,2925,4667150,3000,760,1596,,,
2020-02-14,3945,6492750,3000,700,1646,,,
2020-02-17,5810,9288100,2780,800,1599,,,
2020-02-19,4988,6488560,2820,560,1301,,,
2020-02-21,4092,6112470,3000,480,1494,,,
2020-02-24,6343,8577550,3000,480,1352,,,
2020-02-26,3481,2839660,2600,300,816,,,
2020-02-27,245,83500,400,300,341,,,
2020-02-28,2495,1922120,1800,220,770,,,
2020-02-29,220,84400,430,310,384,,,
2020-03-02,4236,3671050,1750,190,867,,,
2020-03-04,4382,5195000,2460,380,1186,,,
2020-03-06,6218,11429190,2840,840,1838,,,
2020-03-09,10873,18937180,2810,1110,1742,,,
2020-03-11,13756,21089710,3000,680,1533,,,
2020-03-13,16561,22467030,2490,640,1357,,,
2020-03-16,16858,24096430,2480,620,1429,,,
2020-03-18,16772,23265590,2600,640,1387,,,
2020-03-20,15975,20012150,2460,500,1253,,,
2020-03-23,26737,32693540,2580,440,1223,,,
2020-03-25,24836,24941830,2360,290,1004,,,
2020-03-26,225,133500,700,500,593,,,
2020-03-27,21359,20836780,2100,260,976,,,
2020-03-28,380,207800,610,510,547,,,
2020-03-30,30593,33624550,2120,350,1099,,,
2021-01-04,13096,27355940,3300,1090,2089,,,
2021-01-06,5641,12903030,3500,1430,2287,,,
2021-01-08,6714,14590400,3650,1200,2173,,,
2021-01-11,9472,18244330,3300,720,1926,,,
2021-01-13,5924,13840540,4150,1440,2336,,,
2021-01-15,7384,15617930,4080,1280,2115,,,
2021-01-18,8896,15880460,4100,690,1785,,,
2021-01-19,250,526000,2200,2000,2104,,,
2021-01-20,6851,9046710,3530,450,1320,,,
2021-01-21,263,236400,920,800,899,,,
2021-01-22,5591,7135380,3000,520,1276,,,
2021-01-25,9304,16016310,3500,910,1721,,,
2021-01-27,10420,18617410,3700,1050,1787,,,
2021-01-29,10063,15614840,3600,680,1552,,,
2021-02-01,11221,17877500,3900,740,1593,,,
2021-02-03,9965,18973690,3930,1130,1904,,,
2021-02-05,13291,26789560,3930,1050,2016,,,
2021-02-08,19651,38519660,4250,990,1960,,,
2021-02-10,13715,24865550,3780,680,1813,,,
2021-02-15,27921,41452360,3630,520,1485,,,
2021-02-16,110,58300,530,530,530,,,
2021-02-17,17129,24635040,3680,500,1438,,,
2021-02-18,423,441600,1200,1000,1044,,,
2021-02-19,16552,26238860,3400,840,1585,,,
2021-02-22,18078,37841930,4030,1140,2093,,,
2021-02-24,22266,52464370,3630,1260,2356,,,
2021-02-26,27644,49911640,3380,1000,1806,,,
2021-03-01,25627,44414500,3180,940,1733,,,
2021-03-03,25995,42053440,3100,820,1618,,,
2021-03-05,23883,41386150,3000,800,1733,,,
2021-03-08,30061,58381920,3230,870,1942,,,
2021-03-10,32906,65738730,3300,990,1998,,,
2021-03-12,36878,62120780,3100,670,1684,,,
2021-03-13,750,763750,1800,510,1018,,,
2021-03-15,43121,62215830,2780,480,1443,,,
