date,total_quantity,total_amount,max_amount,min_amount,mean
2019-04-01,11612,15615420,2450,530,1345
2019-04-03,7225,9619150,2540,530,1331
2019-04-05,9593,14353420,2900,500,1496
2019-04-08,10808,18853590,3200,660,1744
2019-04-10,10408,16368980,3380,740,1573
2019-04-12,11043,12837520,2900,520,1163
2019-04-15,11555,13735150,2430,490,1189
2019-04-16,110,77000,700,700,700
2019-04-17,8295,11033250,2480,400,1330
2019-04-19,8442,13522060,2850,740,1602
2019-04-22,9320,14554150,2750,680,1562
2019-04-24,10245,13948100,2390,650,1361
2019-04-25,240,198000,1100,700,825
2019-04-26,7780,8767400,2360,420,1127
2019-04-29,6305,8311550,2370,840,1318
2019-05-01,5490,8077800,2310,890,1471
2019-05-03,6175,8921400,1940,700,1445
2019-05-04,85,69700,820,820,820
2019-05-06,5240,6880500,1760,520,1313
2019-05-08,2802,4122290,2100,800,1471
2019-05-10,1770,2622600,1910,930,1482
2019-05-13,1797,2913130,2000,1200,1621
2019-05-15,397,742870,2000,1710,1871
2019-05-17,200,383200,2000,1860,1916
2019-05-20,347,740880,2340,2000,2135
2020-04-01,23794,24246370,2270,380,1019
2020-04-03,20559,27514340,2670,410,1338
2020-04-06,26894,49373040,3000,800,1836
2020-04-08,24263,40483400,2880,1000,1669
2020-04-10,26113,37493410,2700,800,1436
2020-04-13,25055,36984200,3000,600,1476
2020-04-15,19642,27363500,3000,510,1393
2020-04-17,19345,26848900,3000,420,1388
2020-04-20,27487,35486440,2750,350,1291
2020-04-22,17319,19868090,2640,400,1147
2020-04-24,14068,15787610,2750,320,1122
2020-04-27,14958,20937960,2870,360,1400
2020-04-29,9368,15324770,2520,1000,1636
2020-05-01,12753,21516980,3150,880,1687
2020-05-04,20984,22348350,2340,420,1065
2020-05-05,230,166000,740,710,722
2020-05-06,9154,7821080,2500,240,854
2020-05-07,360,118800,330,330,330
2020-05-08,5865,5953400,1850,210,1015
2020-05-11,9515,10060800,2090,290,1057
2020-05-13,4965,5836250,2190,250,1175
2020-05-15,3195,5093750,2550,490,1594
2020-05-18,4000,3677750,1790,320,919
2020-05-20,1275,1037500,1030,540,814
2020-05-22,1645,1074100,900,440,653
2020-05-25,1830,836700,670,270,457
2021-04-01,1020,1257000,1500,600,1232
2021-04-02,49367,64324820,3850,490,1303
2021-04-03,80,80000,1000,1000,1000
2021-04-05,57800,65594320,3650,300,1135
2021-04-06,1355,677000,1100,400,500
2021-04-07,40006,39052230,3830,280,976
2021-04-09,41751,42943340,3680,400,1029
2021-04-10,195,98250,550,350,504
2021-04-12,47828,52711500,3800,380,1102
2021-04-13,180,72000,400,400,400
2021-04-14,31151,35283760,3250,300,1133
2021-04-15,150,60000,400,400,400
2021-04-16,26316,34379950,3780,470,1306
2021-04-19,31829,50306600,3300,730,1581
2021-04-21,19613,34170140,3330,1130,1742
2021-04-23,22754,38202510,3550,530,1679
2021-04-26,24422,33985490,3100,420,1392
2021-04-27,415,397000,1000,700,957
2021-04-28,10960,14390350,3430,500,1313
2021-04-29,200,100000,500,500,500
2021-04-30,13475,16131450,2610,510,1197
2021-05-03,10270,15103950,2780,680,1471
2021-05-05,2800,4760100,2560,850,1700
2021-05-07,2290,4399800,3000,1030,1921
2021-05-10,915,2079250,2930,1290,2272
2021-05-11,120,180000,1500,1500,1500
2021-05-12,400,920200,3350,1740,2301
2021-05-14,1735,3190550,2660,1310,1839
2021-05-17,1005,1908050,2220,1220,1899
2021-05-19,660,744600,1460,660,1128
2021-05-21,475,564000,1390,710,1187
2021-05-24,340,362000,1250,900,1065
2022-04-01,41604,84653270,3980,1170,2035
2022-04-04,47885,92128230,3830,980,1924
2022-04-06,37085,74671000,3850,640,2014
2022-04-08,42707,75459120,4000,840,1767
2022-04-09,35,59500,1700,1700,1700
2022-04-11,43068,56720490,3000,490,1317
2022-04-13,32185,34431700,3000,310,1070
2022-04-14,640,437500,1000,600,684
2022-04-15,39283,44423170,3000,300,1131
2022-04-16,405,336600,1320,600,831
2022-04-18,36015,46812950,3800,400,1300
2022-04-19,240,127200,550,510,530
2022-04-20,26684,45760600,4180,790,1715
2022-04-22,25056,43745160,4030,600,1746
2022-04-25,24181,40816880,3980,610,1688
2022-04-27,19483,29425580,3450,500,1510
2022-04-28,400,200000,500,500,500
2022-04-29,15863,20935290,2700,520,1320
2022-04-30,260,123000,500,400,473
2022-05-02,15280,18665150,2280,620,1222
2022-05-04,6125,9855000,3000,1000,1609
2022-05-06,2015,4425000,3300,1200,2196
2022-05-09,1130,3010600,4280,1980,2664
2022-05-11,919,2830560,4130,1800,3080
2022-05-13,587,1071350,2610,1110,1825
2022-05-16,220,526100,2820,1700,2391
2022-05-23,50,67000,1340,1340,1340
2023-04-03,36334,67207930,5000,700,1850
2023-04-05,36666,51022990,5000,590,1392
2023-04-07,26050,24435150,3000,400,938
2023-04-08,1880,1127000,800,460,599
2023-04-10,26578,28387910,3900,300,1068
2023-04-12,18505,28015790,5000,490,1514
2023-04-14,23255,40884500,4680,780,1758
2023-04-17,24325,42872950,4900,920,1763
2023-04-19,17915,26508200,4530,700,1480
2023-04-21,16008,20672890,3750,640,1291
2023-04-24,19961,27916310,4130,780,1399
2023-04-26,10159,16319360,3700,750,1606
2023-04-28,9244,14505350,3300,870,1569
2023-05-01,10045,18312050,3150,1050,1823
2023-05-03,4975,10089850,3000,1020,2028
2023-05-05,2955,6349850,3000,1370,2149
2023-05-08,2295,4966650,3800,700,2164
2023-05-10,1650,4215750,3080,1870,2555
2023-05-12,355,932100,3000,1590,2626
2023-05-15,1340,2405550,2370,970,1795
2023-05-17,45,101250,2250,2250,2250
2023-05-24,100,273000,2730,2730,2730
2024-04-01,42825,60792050,3880,700,1420
2024-04-03,34741,70499510,4750,900,2029
2024-04-05,40843,77914040,4100,980,1908
2024-04-08,48777,78135510,4180,640,1602
2024-04-10,34925,44355660,3450,300,1270
2024-04-11,195,197000,1400,600,1010
2024-04-12,34372,43875710,3150,390,1276
2024-04-13,55,27500,500,500,500
2024-04-15,36389,48016740,3000,300,1320
2024-04-17,29647,33098010,2720,340,1116
2024-04-19,22040,25989940,2690,270,1179
2024-04-20,60,90000,1500,1500,1500
2024-04-22,22202,31698660,3150,400,1428
2024-04-23,240,192000,800,800,800
2024-04-24,13653,16387970,3000,270,1200
2024-04-25,85,51000,600,600,600
2024-04-26,9686,12401010,2980,300,1280
2024-04-29,7317,11817480,3680,220,1615
2024-05-01,5440,11470900,3850,220,2109
2024-05-03,3428,7611010,3800,500,2220
2024-05-06,1270,3255650,3680,2000,2564
2024-05-08,510,1599100,4180,2150,3135
2024-05-10,167,614260,4180,3330,3678
2024-05-13,200,761800,4750,2310,3809
2024-05-15,33,128700,3900,3900,3900
2025-04-02,34703,39448490,4080,420,1137
2025-04-04,31478,56552750,5000,740,1797
2025-04-07,36655,74207900,5040,1200,2024
2025-04-09,29985,50586040,5000,800,1687
2025-04-11,34799,49174280,3930,490,1413
2025-04-12,600,480000,800,800,800
2025-04-14,32350,44548520,4100,600,1377
2025-04-15,243,121650,510,500,501
2025-04-16,27066,34224980,5000,400,1265
2025-04-18,21477,32649850,4880,460,1520
2025-04-21,25634,41262450,3930,460,1610
2025-04-22,70,140000,2000,2000,2000
2025-04-23,20489,26094290,2720,450,1274
2025-04-25,14944,21549470,3000,510,1442
2025-04-28,14335,22688070,4000,420,1583
2025-04-30,8133,17196550,3500,1000,2114
2025-05-02,9234,18765690,3650,1000,2032
2025-05-05,5911,12430130,3350,1000,2103
2025-05-07,2375,5298650,3730,1390,2231
2025-05-09,1235,2713700,3500,1530,2197
2025-05-12,2287,5393930,3480,1410,2359
2025-05-14,1225,2760450,3000,1630,2253
2025-05-15,20,12000,600,600,600
2025-05-16,772,1616060,3530,1430,2093
2025-05-19,475,1283900,3580,930,2703
2025-05-21,35,29400,840,840,840
2025-05-23,735,1052900,2500,1090,1433
2025-05-28,375,388750,1340,860,1037
2025-05-30,375,252500,720,640,673
2025-06-02,500,236250,510,450,473
