date,total_quantity,total_amount,max_amount,min_amount,mean
2019-07-01,1023,2742950,3350,580,2681
2019-07-03,1038,2246680,3750,1040,2164
2019-07-05,1061,2452720,3600,1100,2312
2019-07-08,748,2068100,3230,1910,2765
2019-07-10,1112,2873060,3000,1490,2584
2019-07-12,1188,3484120,3880,2050,2933
2019-07-15,1674,3770750,2930,1110,2253
2019-07-17,2068,3297580,2100,660,1595
2019-07-19,1715,2274140,2010,1000,1326
2019-07-20,112,134400,1200,1200,1200
2019-07-22,1367,1949850,2190,890,1426
2019-07-24,1155,1659580,1880,950,1437
2019-07-26,638,1727000,3000,2000,2707
2019-07-29,867,1839630,3000,730,2122
2019-07-31,973,1925780,3000,630,1979
2019-08-02,1793,2654930,2250,820,1481
2019-08-05,2070,3452760,2820,720,1668
2019-08-06,146,154000,1200,1000,1055
2019-08-07,1939,2902020,2580,600,1497
2019-08-09,1920,2308280,2300,400,1202
2019-08-10,62,43400,700,700,700
2019-08-12,1457,1853620,2000,600,1272
2019-08-14,1149,1883860,2570,650,1640
2019-08-16,1485,2857250,3000,1220,1924
2019-08-19,1790,3625040,3280,990,2025
2019-08-21,1774,4188320,3630,1020,2361
2019-08-23,1941,4164860,3000,1200,2146
2019-08-26,2421,4583330,3000,1140,1893
2019-08-28,2015,3592670,3000,890,1783
2019-08-30,1854,4032740,3000,1080,2175
2019-09-02,2324,6020780,3650,990,2591
2019-09-04,2746,9021910,4200,2240,3285
2019-09-06,4098,14263100,4630,1700,3481
2019-09-09,5107,12217130,3380,1000,2392
2019-09-16,2417,7275520,3600,2160,3010
2019-09-18,3811,7605910,3400,1100,1996
2019-09-20,2813,4116670,3030,710,1463
2019-09-23,1117,2271630,2830,1200,2034
2019-09-25,1642,3272930,3000,1050,1993
2019-09-27,2076,4558110,3000,1610,2196
2019-09-30,2663,6013060,3700,960,2258
2020-07-01,1243,4714990,4230,3050,3793
2020-07-03,1127,4263780,4830,2680,3783
2020-07-06,670,2957970,5000,2640,4415
2020-07-08,1320,5470740,5000,1500,4145
2020-07-10,1753,5117770,4450,890,2919
2020-07-11,196,214360,1510,1000,1094
2020-07-13,790,2647500,4700,530,3351
2020-07-15,787,2948310,4830,2090,3746
2020-07-17,845,3286980,4480,2400,3890
2020-07-20,2140,6437550,4800,1400,3008
2020-07-22,2294,5988680,3450,920,2611
2020-07-24,1695,3968550,3530,1000,2341
2020-07-27,1577,4039410,3830,600,2561
2020-07-29,1345,2942570,3400,1380,2188
2020-07-31,1181,2948680,3700,1500,2497
2020-08-03,1423,3337140,2950,1260,2345
2020-08-05,1084,2346360,2780,1640,2165
2020-08-07,1898,3824160,2850,1140,2015
2020-08-10,2642,5127160,2730,1100,1941
2020-08-12,1675,3581960,3000,1050,2138
2020-08-14,2324,4286590,2390,1340,1844
2020-08-17,1613,3571530,2790,1490,2214
2020-08-19,1670,3541590,2840,920,2121
2020-08-21,1709,3575780,3400,1070,2092
2020-08-24,2534,4964740,3450,680,1959
2020-08-25,40,40400,1010,1010,1010
2020-08-26,2796,4656080,3580,900,1665
2020-08-28,2692,4469790,4000,800,1660
2020-08-31,3200,4230410,3000,520,1322
2020-09-01,30,30000,1000,1000,1000
2020-09-02,1621,2219340,2210,600,1369
2020-09-03,100,100000,1000,1000,1000
2020-09-04,2230,3292620,3230,830,1477
2020-09-05,137,95900,700,700,700
2020-09-07,2203,3792970,3880,700,1722
