date,total_quantity,total_amount,max_amount,min_amount,mean
2019-10-02,2632,5223880,2980,1250,1985
2019-10-04,3642,6835590,3200,1000,1877
2019-10-07,3766,6352470,2530,1000,1687
2019-10-09,2619,4200120,2450,1000,1604
2019-10-10,40,40000,1000,1000,1000
2019-10-11,1510,3238520,2720,1610,2145
2019-10-14,1914,5714000,3630,2230,2985
2019-10-16,2172,7326250,3980,2550,3373
2019-10-18,2947,9562350,4130,2150,3245
2019-10-21,2684,8256840,3850,1490,3076
2019-10-23,1075,3437180,4200,1470,3197
2019-10-25,1414,5130180,4430,2330,3628
2019-10-28,804,3267430,5390,1850,4064
2019-10-30,2536,7508580,4580,1330,2961
2019-11-01,2753,5492930,3550,1010,1995
2019-11-04,4000,4870840,2240,690,1218
2019-11-05,190,141400,900,710,744
2019-11-06,2880,3005990,1950,500,1044
2019-11-08,2209,2598830,2580,600,1176
2019-11-11,2597,3085840,2490,750,1188
2019-11-13,2469,3222380,2670,680,1305
2019-11-15,2352,2539960,2370,490,1080
2019-11-16,152,79040,530,510,520
2019-11-18,2456,3525420,2490,610,1435
2019-11-19,40,40000,1000,1000,1000
2019-11-20,2434,3126360,2630,850,1284
2019-11-22,2647,3355250,2300,750,1268
2019-11-25,2590,3456330,2370,500,1334
2019-11-27,2785,3488510,2270,450,1253
2019-11-29,2250,3046330,2510,600,1354
2019-12-02,2479,3714260,2460,670,1498
2019-12-04,1689,2780660,2820,610,1646
2019-12-06,2205,3866240,3000,740,1753
2019-12-09,2545,4969640,3000,750,1953
2019-12-11,2987,6505490,3150,860,2178
2019-12-13,3594,6622480,3280,1140,1843
2019-12-16,2874,6242450,3650,1080,2172
2019-12-18,2662,5733670,3450,790,2154
2019-12-20,3552,6876940,3150,950,1936
2019-12-23,3659,8022210,3600,1410,2192
2019-12-25,1934,4670670,3330,1470,2415
2019-12-27,2737,8357770,4350,1190,3054
2019-12-30,4237,16159200,5430,1770,3814
2020-10-05,4288,13189690,4130,990,3076
2020-10-07,2173,7500210,4230,2150,3452
2020-10-09,2361,7365480,4050,1520,3120
2020-10-12,3658,9150410,3750,750,2501
2020-10-14,2719,5034600,2930,890,1852
2020-10-15,160,176000,1100,1100,1100
2020-10-16,2664,4456900,3000,800,1673
2020-10-17,91,117000,1500,1000,1286
2020-10-19,2341,5616520,3000,690,2399
2020-10-21,2100,6236180,3580,1550,2970
2020-10-23,1993,4809550,3980,1070,2413
2020-10-26,1685,4325310,3550,1190,2567
2020-10-28,2144,5468000,3750,1220,2550
2020-10-30,2716,4600370,3450,800,1694
2020-10-31,140,116400,1010,700,831
2020-11-02,3743,5714550,2430,800,1527
2020-11-04,2594,2794290,2420,590,1077
2020-11-05,308,263200,1000,800,855
2020-11-06,1639,2370690,2640,510,1446
2020-11-09,2167,4157660,2630,650,1919
2020-11-11,2247,5158180,3030,920,2296
2020-11-13,3005,7188950,3930,860,2392
2020-11-14,36,54000,1500,1500,1500
2020-11-16,2900,7050780,3350,1000,2431
2020-11-18,2020,4972760,3530,720,2462
2020-11-20,2022,4027380,3230,1000,1992
2020-11-23,2305,4483350,2640,780,1945
2020-11-25,2192,4680720,3000,1290,2135
2020-11-27,2383,4773930,2940,1400,2003
2020-11-30,2122,3759680,3630,1070,1772
2020-12-02,1003,1901780,3680,1500,1896
2020-12-04,1453,3291380,3830,760,2265
2020-12-07,1475,3719710,3750,1730,2522
2020-12-09,1476,4498780,3900,2050,3048
2020-12-11,1677,5126910,4230,2150,3057
2020-12-14,2904,6793990,3200,590,2340
2020-12-15,118,166500,2000,700,1411
2020-12-16,1959,3688410,2930,1040,1883
2020-12-18,2602,4226200,2950,1050,1624
2020-12-19,68,68000,1000,1000,1000
2020-12-21,2728,3999490,2480,690,1466
2020-12-23,1334,1878170,2360,800,1408
2020-12-25,1296,2163510,2400,910,1669
2020-12-28,1546,4824850,4130,1590,3121
